醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,URL,latitude,longitude
911010010,維德醫療社團法人基隆維德醫院,精神科醫院,02 -24696688,基隆市中正區調和街210號,臺北業務組,地區醫院,"門診診療,住院診療,精神病患者居家照護,精神科日間住院治療",精神科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10017,2016/09/30,https://www.google.com/maps/place?q=基隆市中正區調和街210號,121.79648077537955,25.13036707
912040012,平和醫療社團法人和平醫院,慢性醫院,03 -5260151,新竹市北區和平路86-1號,北區業務組,地區醫院,"門診診療,住院診療,成人預防保健","內科,外科,泌尿科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10018,2008/05/01,https://www.google.com/maps/place?q=新竹市北區和平路86-1號,120.95306247536917,24.80889157
917050027,維新醫療社團法人台中維新醫院,精神科醫院,04 -22038585,臺中市北區育德路185、187號,中區業務組,地區醫院,"門診診療,住院診療,精神病患者居家照護,精神科日間住院治療,定量免疫法糞便潛血檢查","神經科,精神科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,66000,2009/10/08,https://www.google.com/maps/place?q=臺中市北區育德路185、187號,120.66980907534857,24.157135678
922020013,仁德醫療社團法人陳仁德醫院,醫院,05 -2258279,嘉義市西區林森西路285號,南區業務組,地區醫院,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析,成人預防保健","家醫科,內科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10020,2014/12/31,https://www.google.com/maps/place?q=嘉義市西區林森西路285號,120.44075057532767,23.480176378
922020022,慶昇醫療社團法人慶昇醫院,醫院,05 -2229191,嘉義市西區新榮路339、339－1號,南區業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,婦女乳房檢查,口腔黏膜檢查,定量免疫法糞便潛血檢查","家醫科,內科,外科,兒科,眼科,復健科,職業醫學科,中醫一般科,放射線科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10020,2016/07/01,https://www.google.com/maps/place?q=嘉義市西區新榮路339、339－1號,120.44137567532766,23.480065178
922020031,祥太醫療社團法人祥太醫院,慢性醫院,05 -2230398,嘉義市西區書院里延平街490號永和街116號,南區業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析,成人預防保健","內科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,10020,2019/11/01,https://www.google.com/maps/place?q=嘉義市西區書院里延平街490號永和街116號,120.4377922753275,23.476023278
931010016,中英醫療社團法人中英醫院,醫院,02 -22563584,新北市板橋區文化路1段196號1－4樓,臺北業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,口腔黏膜檢查,定量免疫法糞便潛血檢查","內科,外科,骨科,泌尿科,復健科,牙科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,2007/12/01,https://www.google.com/maps/place?q=新北市板橋區文化路1段196號1－4樓,121.46370107537605,25.01986097
931010025,中英醫療社團法人板英醫院,醫院,02 -82513923,新北市板橋區文化路1段267、269、271號1－4樓,臺北業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,成人預防保健,婦女子宮頸抹片檢查","家醫科,內科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,9／29中秋節停診,65000,2009/07/01,https://www.google.com/maps/place?q=新北市板橋區文化路1段267、269、271號1－4樓,121.41538485159445,25.00593332
931050010,怡濟慈園醫療社團法人宏濟神經精神科醫院,精神科醫院,02 -22118899,新北市新店區安忠路57巷5號,臺北業務組,地區醫院,"門診診療,住院診療",精神科,,星期一上午休診、星期二上午休診、星期三上午休診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,2016/07/07,https://www.google.com/maps/place?q=新北市新店區安忠路57巷5號,121.51075627537409,24.95880817
1505310011,璟馨婦幼醫院,醫院,06 -3023366,臺南市永康區東橋里東橋七路198號,南區業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩","外科,兒科,婦產科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,24小時全天醫師值班接生，不受門診時間影響,10021,2015/03/18,https://www.google.com/maps/place?q=臺南市永康區東橋里東橋七路198號,120.23494977531377,23.020991579
1505340019,大安婦幼醫院,醫院,06 -2278899,臺南市中西區金華路三段167號1、2、3、4樓,南區業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,婦女乳房檢查,定量免疫法糞便潛血檢查","內科,兒科,婦產科,麻醉科,放射診斷科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,10021,2013/04/19,https://www.google.com/maps/place?q=臺南市中西區金華路三段167號1、2、3、4樓,120.19029707531293,22.992734079
1505350015,陳澤彥婦產科醫院,醫院,06 -3505000,臺南市北區中華北路二段101號1、2、3樓,南區業務組,地區醫院,"門診診療,住院診療,兒童預防保健,成人預防保健,婦女子宮頸抹片檢查,孕婦產檢,分娩,定量免疫法糞便潛血檢查","兒科,婦產科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診與接生業務不在此限,10021,2012/05/17,https://www.google.com/maps/place?q=臺南市北區中華北路二段101號1、2、3樓,120.19586787531371,23.019708779
1507010014,新高鳳醫院,醫院,07 -7472320,高雄市鳳山區光遠路360號1－7樓,高屏業務組,地區醫院,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,兒童預防保健,成人預防保健,定量免疫法糞便潛血檢查","家醫科,眼科,復健科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,本院星期六下午及晚上休診，週日全天休診,64000,2013/12/17,https://www.google.com/maps/place?q=高雄市鳳山區光遠路360號1－7樓,120.35616187530213,22.626200279
1507010023,澄清國際眼科醫院,醫院,07 -7153625,高雄市鳳山區五甲二路398號,高屏業務組,地區醫院,"門診診療,住院診療,成人預防保健","眼科,神經科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,9／29中秋休診.10／10正常門診,64000,2022/11/14,https://www.google.com/maps/place?q=高雄市鳳山區五甲二路398號,120.33369077530122,22.598605079
